dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
6/2/2019,190602_202304oak,79a16d88-7482-4eda-a5bf-bf8e0b504043,6,1,543037,543760,6,Walk,S,37,3.38,1.63,-7.93,13.51,FF,17,0,R,0,0,R,gid_2019_06_02_houmlb_oakmlb_1/,Called Strike,210.372,-0.325714,1,hou,0.07480267,-132.4671302,0.30251575,-7.255187732,13.57911138,-7.93,13.51,-1.843832849,55,6.09163648,7.583551064,-136.1045942,-7.76613656,-13.21299966,32.56399931,-7.448999809,93.09,0.163883792,2.235758241,0.23,2.22,0,0
6/2/2019,190602_202316oak,e710e62e-82e6-42dd-9207-60b4f44d5fc4,6,2,543037,543760,6,Walk,B,37,3.38,1.63,-8.16,12.49,FF,14,0,R,1,0,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball,213.113,0.2,1,hou,0.075073264,-132.0334223,0.303063416,-7.479871504,12.56472895,-8.16,12.49,-1.600077429,55,5.99887115,10.15888886,-135.5276525,-6.003501884,-13.57300027,31.16399969,-9.379000114,92.75,1.447891883,2.697941501,1.51,2.68,0,1
6/2/2019,190602_202330oak,911740ed-95cd-4190-8f22-7203f00e435c,6,3,543037,543760,6,Walk,B,37,3.38,1.63,-9.08,12.81,FF,22,0,R,1,1,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball,215.295,-1.20571,1,hou,0.074310935,-133.3463904,0.300494052,-8.410051791,12.88352985,-9.08,12.81,-1.698421851,55,6.028874892,7.525039505,-136.9999264,-9.363110612,-15.52300008,32.92399992,-8.398999619,93.77,0.083814281,1.465355242,0.14,1.45,0,11
6/2/2019,190602_202344oak,9648756e-873d-42aa-bd88-1eab2546bbe8,6,4,543037,543760,6,Walk,B,37,3.38,1.63,-7.9,12.01,FF,2,0,R,1,2,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball,213.291,1.24,1,hou,0.073655369,-134.5718539,0.297378641,-7.244341091,12.0818608,-7.9,12.01,-1.751967459,55,6.012304666,6.822281527,-138.1430558,-4.01898632,-13.65300019,32.46400084,-9.408999847,94.34,-0.105620675,3.594290907,-0.04,3.59,0,21
6/2/2019,190602_202402oak,f86ed343-df56-4695-a42e-d8641fca21a2,6,5,543037,543760,6,Walk,S,37,3.38,1.63,-8.38,13.26,FF,16,0,R,1,3,R,gid_2019_06_02_houmlb_oakmlb_1/,Foul,212.255,-0.497143,1,hou,0.073682051,-134.4235229,0.298690563,-7.720578591,13.32887814,-8.38,13.26,-1.888858746,55,5.997810675,6.479896127,-138.289564,-8.066599646,-14.42299969,35.14399924,-7.27900021,94.55,-0.4451068,2.093135705,-0.39,2.07,0,31
6/2/2019,190602_202425oak,a63cf1ee-d466-42eb-afdf-3bb7f9e09c94,6,6,543037,543760,6,Walk,B,37,3.38,1.63,-7.14,11.16,FF,14,0,R,2,3,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball,212.605,-0.177143,1,hou,0.072291504,-137.2146843,0.290680029,-6.526215714,11.22936958,-7.14,11.16,-1.963584673,55,5.957222995,10.60577141,-140.5439062,-7.022804532,-12.87300046,30.82399954,-10.02899973,96.22,1.241696732,2.360283981,1.31,2.35,0,32
6/2/2019,190602_203059oak,a63cf1ee-d466-42eb-afdf-3bb7f9e09c94,6,6,543037,543760,6,Walk,B,37,3.38,1.63,-7.14,11.16,FF,,0,R,2,3,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball,212.605,-2.86286,1,hou,0.072291504,-137.2146843,0.290680029,-6.526215714,11.22936958,-7.14,11.16,-1.963584673,55,5.957222995,10.60577141,-140.5439062,-7.022804532,-12.87300046,30.82399954,-10.02899973,96.22,1.241696732,2.360283981,0,0,0,32
6/2/2019,190602_202501oak,075365b7-bfce-4060-b1a9-3460ed5533cc,3,1,543037,656305,7,,S,39,3.46,1.65,-8.43,10.68,FF,8,0,R,0,0,R,gid_2019_06_02_houmlb_oakmlb_1/,Called Strike,218.238,0.856354,1,hou,0.07366581,-134.6533642,0.296223171,-7.777822075,10.76143533,-8.43,10.68,-1.729616283,55,5.911669383,8.693654094,-137.9247928,-3.953766387,-14.77300008,29.72399916,-11.73899977,94.26,0.583202288,3.336487248,0.65,3.33,0,0
6/2/2019,190602_202520oak,add9a691-2afb-4dc5-946a-84cd14693098,3,2,543037,656305,7,,B,39,3.46,1.65,2.7,3.72,SL,24,0,R,1,0,R,gid_2019_06_02_houmlb_oakmlb_1/,Ball,144.046,-1.46409,1,hou,0.079463683,-124.8942985,0.318640087,3.385263358,3.85616634,2.7,3.72,-2.015035807,55,5.861107538,5.287671575,-127.7317728,-4.865420903,5.556999847,23.89399924,-25.84900038,87.23,0.829292437,1.260437482,0.9,1.23,0,1
6/2/2019,190602_202537oak,a7d61ca4-ce15-49d5-9149-98725a0d267d,3,3,543037,656305,7,,S,39,3.46,1.65,1.79,2.17,SL,22,0,R,1,1,R,gid_2019_06_02_houmlb_oakmlb_1/,Foul,140.579,-1.24309,1,hou,0.078928473,-125.8609807,0.31490029,2.461403945,2.314445025,1.79,2.17,-2.164296717,55,5.891647561,4.814331208,-128.3608448,-4.095502512,4.13700001,21.18400015,-28.28900092,87.62,0.307499996,1.467914732,0.37,1.43,0,11
